                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4807,                 3.1384,                 2.3289,                 1.2021,                0.33957,                0.29405,                0.28433,                0.15025,                0.32572,                0.28402,                0.26299,                0.12436,                  1.331,                 3.2229,                 4.5344,                 1.2192,             0.00030006,             0.00030006,             0.00030006
                      2,                 1.2722,                 2.1102,                0.96996,                 1.0504,                0.21135,                 0.6365,                0.17785,                0.09514,                0.19841,                0.30591,                0.15498,                0.07555,                 1.4592,                 5.8291,                    inf,                 1.4873,             0.00061475,             0.00061475,             0.00061475
                      3,                 1.2757,                 2.0232,                 0.8527,                 1.0404,                0.01019,                0.07689,                 0.0059,                0.00333,                0.00971,                0.04363,                0.00557,                0.00305,                 1.9581,                   88.6,                    inf,                 4.0253,             0.00092736,             0.00092736,             0.00092736
                      4,                 1.3068,                 2.1027,                0.74035,                 1.0384,                0.12601,                0.58766,                0.09074,                0.04742,                0.11824,                0.29304,                0.08177,                0.03885,                 1.6052,                 4.6848,                    inf,                 1.7328,              0.0012379,              0.0012379,              0.0012379
                      5,                 1.2573,                 1.9086,                0.75821,                  1.035,                0.13725,                0.58062,                0.08415,                0.04602,                0.12736,                0.28282,                 0.0723,                0.03623,                 1.7513,                 4.0106,                    inf,                 1.5413,              0.0015463,              0.0015463,              0.0015463
                      6,                 1.2573,                 1.9075,                0.72785,                 1.0291,                0.28496,                0.33549,                 0.2254,                0.12986,                 0.2756,                 0.2556,                 0.2028,                  0.102,                 1.3151,                 3.1174,                   5.25,                 1.2529,              0.0016395,              0.0016395,              0.0016395
                      7,                  1.188,                  1.797,                0.69716,                 1.0139,                0.07546,                0.23737,                0.03961,                0.02395,                0.07402,                0.23185,                0.03545,                 0.0194,                 1.2471,                  3.198,                    inf,                 1.2415,               0.001634,               0.001634,               0.001634
                      8,                 1.1657,                 1.7149,                0.66782,                 1.0059,                0.72396,                0.58632,                0.57761,                 0.3148,                 0.7004,                0.56137,                0.55004,                0.26841,                 1.2934,                 2.9174,                 2.0006,                 1.2818,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.1755,                 1.6863,                0.64845,                 1.0058,                0.54319,                0.62273,                0.57712,                0.33703,                0.53121,                0.57043,                0.54638,                0.26937,                 1.1783,                 2.2158,                 1.3584,                 1.1537,               0.001623,               0.001623,               0.001623
                     10,                 1.1683,                 1.6954,                0.63334,                0.98855,                0.57393,                0.66367,                0.51663,                0.30374,                0.56578,                0.67999,                0.50233,                0.24522,                 1.2037,                 1.9862,                0.92839,                 1.1974,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.1562,                 1.6557,                0.65587,                0.99398,                0.52765,                0.53571,                0.46708,                0.27339,                0.50752,                0.51114,                0.43832,                0.21914,                 1.1963,                 2.0268,                 1.5561,                 1.1962,               0.001612,               0.001612,               0.001612
                     12,                 1.1389,                 1.6581,                0.64704,                0.99526,                0.69465,                0.61044,                0.62341,                0.39306,                0.68534,                0.60525,                0.60525,                0.34875,                 1.1594,                 1.9282,                 1.2689,                 1.1608,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.1232,                   1.61,                0.59423,                0.96324,                 0.8389,                0.54202,                0.64565,                0.41679,                0.82711,                0.53425,                0.63129,                0.36857,                 1.1029,                 1.7959,                0.97346,                 1.1104,               0.001601,               0.001601,               0.001601
                     14,                 1.0753,                 1.5244,                0.57068,                0.95863,                 0.6891,                0.60287,                0.66075,                0.42999,                0.71808,                 0.5822,                0.64878,                0.39657,                 1.0444,                 1.7342,                0.72216,                 1.0636,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.0698,                 1.5021,                 0.5722,                0.96216,                0.61676,                0.67031,                0.71758,                0.46911,                0.60061,                0.65205,                0.68371,                0.39997,                 1.1163,                  1.846,                0.74084,                 1.1208,                0.00159,                0.00159,                0.00159
                     16,                 1.0786,                  1.514,                0.57458,                0.95568,                0.73331,                0.62674,                0.65576,                0.45104,                0.73749,                0.60327,                0.65761,                0.37229,                 1.0838,                 1.6587,                0.69874,                 1.1123,              0.0015845,              0.0015845,              0.0015845
                     17,                 1.0597,                 1.4589,                0.56092,                0.94968,                0.92717,                0.62346,                 0.7418,                0.48847,                0.90939,                0.61024,                0.68757,                0.37316,                 1.0388,                 1.6778,                0.59198,                 1.0933,               0.001579,               0.001579,               0.001579
                     18,                 1.0276,                 1.4296,                0.54022,                0.94303,                0.82498,                0.68129,                0.79863,                 0.5493,                0.82582,                0.66584,                0.77032,                0.46211,                 1.0533,                   1.66,                0.63915,                 1.0753,              0.0015735,              0.0015735,              0.0015735
                     19,                 1.0267,                 1.4006,                0.53596,                0.94374,                0.79692,                0.64839,                0.78298,                0.49757,                0.92378,                0.59197,                 0.7353,                0.43985,                 1.0477,                 1.6315,                0.60389,                 1.0697,               0.001568,               0.001568,               0.001568
                     20,                 1.0387,                 1.4506,                0.54082,                0.93898,                0.70634,                 0.6563,                0.70625,                0.49474,                0.70615,                0.67699,                0.69752,                0.41495,                 1.0173,                 1.5163,                 0.5848,                 1.0608,              0.0015625,              0.0015625,              0.0015625
                     21,                 1.0109,                 1.4126,                0.53468,                0.93647,                0.64189,                0.47486,                0.51105,                0.35512,                0.63575,                0.46028,                0.49724,                0.30432,                 1.0224,                 1.5867,                 1.2443,                 1.0709,               0.001557,               0.001557,               0.001557
                     22,                 1.0495,                  1.461,                0.54166,                0.94042,                0.82855,                 0.5222,                0.62942,                0.42873,                0.81955,                0.51046,                0.60742,                0.39207,                 1.0234,                 1.5582,                0.68324,                 1.0621,              0.0015515,              0.0015515,              0.0015515
                     23,                 1.0499,                  1.412,                0.52909,                0.93497,                0.88893,                0.64224,                0.69135,                0.49559,                0.88523,                0.62441,                0.66877,                0.44611,                 1.0307,                 1.7059,                0.60843,                 1.0921,               0.001546,               0.001546,               0.001546
                     24,                0.99172,                 1.3197,                0.50461,                0.91884,                0.85088,                0.72359,                0.79421,                0.53503,                 0.8088,                0.66974,                0.73029,                0.42249,                  1.031,                 1.5992,                0.60985,                 1.0716,              0.0015405,              0.0015405,              0.0015405
                     25,                0.94726,                 1.3029,                 0.4962,                0.92401,                0.60928,                0.69421,                0.65548,                0.47289,                0.58565,                0.67741,                0.63115,                0.40326,                0.99443,                 1.4849,                0.55646,                 1.0594,               0.001535,               0.001535,               0.001535
                     26,                 1.0047,                 1.3425,                0.50818,                0.92742,                0.84188,                0.76933,                0.81385,                0.57988,                0.81846,                0.75164,                0.79325,                0.49525,                  1.004,                 1.4696,                0.53699,                  1.067,              0.0015295,              0.0015295,              0.0015295
                     27,                 1.0064,                 1.3472,                0.51338,                0.93722,                0.88461,                0.73276,                0.79113,                0.58797,                 0.8967,                 0.7094,                0.78122,                0.52042,                0.97665,                 1.4743,                0.53378,                 1.0397,               0.001524,               0.001524,               0.001524
                     28,                0.98681,                 1.3542,                0.50955,                0.93187,                0.89136,                0.65418,                0.78796,                0.55779,                 0.8825,                0.63312,                0.75717,                0.47612,                0.96934,                 1.5305,                0.53083,                 1.0498,              0.0015185,              0.0015185,              0.0015185
                     29,                0.97923,                   1.29,                0.50117,                0.91435,                0.74973,                0.65611,                0.70479,                0.50787,                0.75289,                0.63714,                0.68138,                0.43184,                0.98386,                 1.4615,                0.52637,                 1.0718,               0.001513,               0.001513,               0.001513
                     30,                0.97725,                 1.2994,                0.50914,                0.92714,                0.67448,                0.69577,                0.68428,                0.44584,                0.67238,                0.71234,                0.67566,                0.41683,                 0.9518,                 1.4764,                 0.5192,                  1.033,              0.0015075,              0.0015075,              0.0015075
                     31,                0.93847,                 1.2383,                 0.4911,                  0.906,                0.67779,                 0.7351,                0.65363,                 0.4324,                0.65552,                0.70665,                0.65036,                0.37279,                0.97632,                 1.5992,                0.55702,                 1.0417,               0.001502,               0.001502,               0.001502
                     32,                 0.9425,                 1.3074,                0.49798,                0.92478,                0.82104,                 0.7287,                0.77005,                0.50628,                0.81269,                0.71799,                0.75173,                 0.4675,                0.96908,                 1.5276,                0.55675,                 1.0376,              0.0014965,              0.0014965,              0.0014965
                     33,                0.93741,                  1.274,                 0.4947,                 0.9263,                0.74171,                0.63363,                0.72257,                0.45582,                 0.6463,                0.68393,                0.66457,                0.38818,                 1.0255,                 1.5506,                 0.5649,                 1.0709,               0.001491,               0.001491,               0.001491
                     34,                0.94473,                 1.2341,                0.49484,                0.91739,                0.73729,                0.62812,                0.66248,                0.44713,                0.66784,                0.54724,                0.60155,                0.38433,                0.96994,                 1.4801,                0.53808,                 1.0363,              0.0014855,              0.0014855,              0.0014855
